"","countyFIPS","percap_personal_income_2020","household_size","median_age_2019","total_votes","pop_65_plus_ratio","urban_code_2013","perc_b","total_deaths_per_1000","perc_trump"
"1",1,39199,2.68,40.3,8391,0.182974079126876,6,20.2680703277621,192.424571304537,78.2981766178048
"2",3,31938,2.95,36.4,3155,0.139997617061837,6,17.7355312236795,187.101431837324,72.9001584786054
"3",5,38281,2.65,36.7,4668,0.175154041319319,6,17.2800718132855,228.366247755835,86.0754070265638
"4",7,43156,2.3,46.1,1555,0.257489060922248,4,38.2200647249191,101.618122977346,57.6848874598071
"5",9,36399,2.54,35.5,18252,0.171178961839509,5,43.2707667731629,162.029641462549,48.7946526408065
"6",11,37333,2.8,41.1,8801,0.183805291442745,6,2.95238095238095,178.042328042328,88.5808430860129
"7",13,40435,3.03,35.7,37921,0.130146749544329,2,13.6479937018722,239.537973282161,70.6837899844413
"8",15,42734,2.75,38.1,50415,0.146811543874399,2,11.9936875328774,202.412264221838,74.610730933254
"9",17,36234,2.56,39.9,6564,0.182376309136873,5,37.7879092900705,128.130735982,62.629494210847
"10",19,35260,2.57,39.6,7743,0.177710222588623,6,11.6994689159638,105.331667187337,82.9006844892161
"11",21,44830,2.54,36.4,70778,0.164033600240937,4,56.3753871891051,188.353613111497,37.6063183475091
"12",23,36712,2.71,35.8,5706,0.177923581628715,6,28.6557886557887,113.442113442113,75.8499824745881
"13",25,30007,2.82,41.1,7748,0.17555462972607,4,4.71887550200803,131.42041851617,90.358802271554
"14",27,40221,2.44,42,7101,0.204467018297845,4,36.8536146128119,121.559042963725,60.0056330094353
"15",29,56648,2.83,34.6,21334,0.109728867623604,3,16.6801492654158,179.56211998643,66.7479141276835
"16",31,35376,2.47,28.8,30090,0.120350325956531,5,30.7633911913432,136.157181641555,61.1066799601196
"17",33,41973,2.73,37.4,10683,0.16910985517485,3,48.3626534320025,131.430850356716,50.547598989048
"18",35,37403,2.57,38.6,11768,0.160662314166601,2,30.5440869885133,192.699178350979,71.4225016995241
"19",37,28426,2.45,39.6,2187,0.165623495426095,6,61.117282970957,156.483097920965,41.655235482396
"20",39,39262,2.64,32.8,23701,0.145970246262728,5,21.0489251297257,161.82357301705,64.3939074300662
"21",43,36613,2.66,38.7,4432,0.191078743741466,6,26.1860808565627,129.315119069596,70.6678700361011
"22",45,42058,2.73,34.8,54474,0.142033823057887,2,20.487480200856,121.288713645402,68.7961229210266
"23",47,38815,2.67,40.4,32593,0.185643273133714,3,3.74808353552344,186.347330346378,77.2190347620655
"24",49,27192,3.31,41.2,4568,0.160833953834698,6,28.7829957028852,171.117249846532,74.8467600700525
"25",51,51805,2.54,35.6,133476,0.164884631196388,3,41.8924284219866,184.861677409554,39.8933141538554
"26",53,33166,2.83,24.5,1582,0.0492844280163018,3,24.7086914995224,628.080229226361,55.6257901390645
"27",55,33855,2.54,39.4,10050,0.184035744475305,5,10.9683396439217,211.512124385725,80.2388059701493
"28",57,56278,2.8,38.7,144827,0.152743955306589,2,8.21498936086374,178.374970446844,68.7648021432468
"29",59,37588,2.41,28,51330,0.120270746116828,4,29.077919213561,206.085764698469,28.2135203584648
"30",61,38731,2.45,49.8,1434,0.283321702721563,6,55.8512453087683,123.848515864893,44.4211994421199
"31",63,32702,2.95,32.5,111984,0.10145021630229,2,72.479830296286,201.582278481013,14.0323617659666
"32",65,44238,2.51,39.9,2864,0.169705256760863,6,26.0078219013237,208.935018050542,73.4986033519553
"33",67,63214,2.65,36.7,393445,0.131958571009144,2,29.7162635977126,182.112540358658,41.9662214540787
"34",69,35507,2.73,36.3,15214,0.144453699847286,5,30.3320176456931,199.65172974228,69.5280662547653
"35",71,37418,2.92,36.8,16086,0.164156163541346,5,23.9332014941771,174.928587123709,73.218948153674
"36",73,54420,3.13,36.9,80586,0.144091733852111,3,19.2834036704979,134.036056710554,62.0988757352394
"37",75,36301,2.73,37.3,7035,0.169336649123822,6,28.4021606551664,119.823430330487,69.6517412935323
"38",77,52106,2.73,39,76802,0.148280731062188,2,19.1807404055157,143.103010854435,67.0477331319497
"39",79,37563,2.62,44.4,6102,0.199084294007031,4,22.4423249368224,97.0082334719165,72.5663716814159
"40",81,37250,2.69,38.5,8046,0.201688299900154,5,46.114887378382,113.065884757208,62.0308227690778
"41",83,37327,2.45,42.6,7434,0.206140624026904,3,2.12568744979299,159.364765494655,81.5980629539952
"42",85,48170,2.72,43.6,16081,0.206579869435326,2,1.4677374688452,242.710764726827,83.3157141968783
"43",87,40879,2.53,37.8,11627,0.172544128208036,5,42.0078962210942,199.623989471705,58.1233336200224
"44",89,56428,2.63,35.8,371443,0.133573225513084,2,55.431246665175,173.257318079088,15.7326965375576
"45",91,33419,2.45,41.8,8071,0.192597300997457,6,30.4318455971049,101.905910735826,72.3949944244827
"46",93,34582,2.59,43.2,4105,0.220889631091544,6,50.3131677842458,112.887775403434,52.6187576126675
"47",95,40161,2.5,35.6,35348,0.170299617239266,4,71.1892306304681,158.620456390367,29.455697634944
"48",97,40264,2.87,36.5,69098,0.122591020893586,2,49.5943141945224,194.474125035329,36.8259573359576
"49",99,42889,2.5,39.9,5188,0.194878947892797,6,53.503621060873,205.617537678606,52.2166538164996
"50",101,31945,2.56,40.6,1441,0.136931534232884,4,4.18356997971602,118.407707910751,87.1616932685635
"51",103,45069,2.85,36,31564,0.122466357484984,3,15.1041917706978,165.260840924792,74.0051957926752
"52",105,38414,2.53,42.6,9173,0.214946987328679,6,30.2598622417032,137.967021498643,67.9058105309059
