"","countyFIPS","percap_personal_income_2020","household_size","median_age_2019","trump_votes","biden_votes","jorgensen_votes","total_votes","pop_65_plus_ratio","urban_code_2013","level_of_urban","perc_b","pop","all_deaths","total_deaths_per_1000","perc_trump"
"38",77,52106,2.73,39,51494,24219,1089,76802,0.148280731062188,2,"large fringe metro",19.1807404055157,145839,20870,143.103010854435,67.0477331319497
"39",79,37563,2.62,44.4,4428,1615,59,6102,0.199084294007031,4,"Small metro",22.4423249368224,12267,1190,97.0082334719165,72.5663716814159
"40",81,37250,2.69,38.5,4991,2989,66,8046,0.201688299900154,5,"Micropolitan",46.114887378382,22509,2545,113.065884757208,62.0308227690778
"41",83,37327,2.45,42.6,6066,1261,107,7434,0.206140624026904,3,"Medium metro",2.12568744979299,16183,2579,159.364765494655,81.5980629539952
"42",85,48170,2.72,43.6,13398,2486,197,16081,0.206579869435326,2,"large fringe metro",1.4677374688452,25277,6135,242.710764726827,83.3157141968783
"43",87,40879,2.53,37.8,6758,4779,90,11627,0.172544128208036,5,"Micropolitan",42.0078962210942,26595,5309,199.623989471705,58.1233336200224
"44",89,56428,2.63,35.8,58438,308769,4236,371443,0.133573225513084,2,"large fringe metro",55.431246665175,755287,130859,173.257318079088,15.7326965375576
"45",91,33419,2.45,41.8,5843,2172,56,8071,0.192597300997457,6,"Noncore",30.4318455971049,20725,2112,101.905910735826,72.3949944244827
"46",93,34582,2.59,43.2,2160,1910,35,4105,0.220889631091544,6,"Noncore",50.3131677842458,13571,1532,112.887775403434,52.6187576126675
"47",95,40161,2.5,35.6,10412,24656,280,35348,0.170299617239266,4,"Small metro",71.1892306304681,88696,14069,158.620456390367,29.455697634944
"48",97,40264,2.87,36.5,25446,42814,838,69098,0.122591020893586,2,"large fringe metro",49.5943141945224,145063,28211,194.474125035329,36.8259573359576
"49",99,42889,2.5,39.9,2709,2451,28,5188,0.194878947892797,6,"Noncore",53.503621060873,10218,2101,205.617537678606,52.2166538164996
"50",101,31945,2.56,40.6,1256,167,18,1441,0.136931534232884,4,"Small metro",4.18356997971602,3944,467,118.407707910751,87.1616932685635
"51",103,45069,2.85,36,23359,7713,492,31564,0.122466357484984,3,"Medium metro",15.1041917706978,62241,10286,165.260840924792,74.0051957926752
"52",105,38414,2.53,42.6,6229,2878,66,9173,0.214946987328679,6,"Noncore",30.2598622417032,19164,2644,137.967021498643,67.9058105309059
"53",107,37678,2.58,36.9,6556,2888,66,9510,0.167325720886835,6,"Noncore",35.5649278579356,22525,3426,152.097669256382,68.937960042061
"54",109,37408,2.55,37.6,2888,1324,35,4247,0.165632637713856,6,"Noncore",30.3532939743229,10671,1512,141.692437447287,68.0009418412997
"55",111,39796,2.37,52.1,12170,2568,110,14848,0.308359413295125,6,"Noncore",0.829553824088072,25797,4150,160.871419157266,81.963900862069
"56",113,71384,2.79,43.4,38024,33111,975,72110,0.194420700909162,2,"large fringe metro",24.862608328049,113544,16962,149.387021771296,52.7305505477742
"57",115,41238,2.6,38.3,28687,11853,512,41052,0.172934160885968,4,"Small metro",15.6760901794387,97805,22954,234.691477940801,69.8796648153561
"58",117,67859,2.98,38.5,85142,42158,1995,129295,0.125227728455991,2,"large fringe metro",4.77082056592211,236605,44137,186.542972464656,65.8509609807031
"59",119,35134,2.64,41.2,9072,1589,102,10763,0.195498638529612,6,"Noncore",10.0282424505757,23015,4380,190.310666956333,84.2887670723776
"60",121,95683,2.47,35.5,137620,381179,6494,525293,0.123175936187236,1,"Large central metro",45.2273310826875,1051550,186411,177.272597594028,26.1987119569459
"61",123,37542,2.55,47.2,13429,2932,164,16525,0.265776471324035,6,"Noncore",0.629316465500549,30986,4644,149.8741367069,81.2647503782148
"62",125,36615,2.65,42.7,1402,155,8,1565,0.186662198391421,6,"Noncore",10.6233243967828,2984,268,89.8123324396783,89.5846645367412
